,Year,Month,Jurisdiction,Number,Time
1031,1999,September,Prince Edward Island,6.0,1999-09-01
986,1999,September,New Brunswick,31.0,1999-09-01
994,1999,September,Newfoundland and Labrador,10.0,1999-09-01
1040,1999,September,Quebec,120.0,1999-09-01
977,1999,September,Manitoba,17.0,1999-09-01
969,1999,September,British Columbia,109.0,1999-09-01
1055,1999,September,Yukon,1.0,1999-09-01
958,1999,September,Alberta,46.0,1999-09-01
3324,1999,September,Canada,430.0,1999-09-01
1049,1999,September,Saskatchewan,6.0,1999-09-01
1030,1999,October,Prince Edward Island,2.0,1999-10-01
978,1999,October,New Brunswick,3.0,1999-10-01
1041,1999,October,Saskatchewan,7.0,1999-10-01
995,1999,October,Nova Scotia,3.0,1999-10-01
1033,1999,October,Quebec,5.0,1999-10-01
971,1999,October,Manitoba,5.0,1999-10-01
959,1999,October,British Columbia,82.0,1999-10-01
3323,1999,October,Canada,196.0,1999-10-01
949,1999,October,Alberta,84.0,1999-10-01
1010,1999,October,Ontario,4.0,1999-10-01
987,1999,October,Newfoundland and Labrador,1.0,1999-10-01
1042,1999,November,Saskatchewan,7.0,1999-11-01
3322,1999,November,Canada,67.0,1999-11-01
1011,1999,November,Ontario,3.0,1999-11-01
1029,1999,November,Prince Edward Island,1.0,1999-11-01
979,1999,November,New Brunswick,7.0,1999-11-01
960,1999,November,British Columbia,6.0,1999-11-01
950,1999,November,Alberta,29.0,1999-11-01
996,1999,November,Nova Scotia,7.0,1999-11-01
1034,1999,November,Quebec,7.0,1999-11-01
951,1999,December,Alberta,28.0,1999-12-01
1022,1999,December,Prince Edward Island,0.0,1999-12-01
961,1999,December,British Columbia,8.0,1999-12-01
3315,1999,December,Canada,37.0,1999-12-01
980,1999,December,New Brunswick,1.0,1999-12-01
1128,2000,January,Prince Edward Island,,2000-01-01
3330,2000,January,Canada,10.0,2000-01-01
1056,2000,January,Alberta,9.0,2000-01-01
1147,2000,January,Saskatchewan,1.0,2000-01-01
3329,2000,February,Canada,12.0,2000-02-01
1116,2000,February,Ontario,1.0,2000-02-01
1071,2000,February,British Columbia,3.0,2000-02-01
1060,2000,February,Alberta,8.0,2000-02-01
1127,2000,February,Prince Edward Island,,2000-02-01
3333,2000,March,Canada,75.0,2000-03-01
1149,2000,March,Saskatchewan,4.0,2000-03-01
1139,2000,March,Quebec,1.0,2000-03-01
1131,2000,March,Prince Edward Island,,2000-03-01
1117,2000,March,Ontario,17.0,2000-03-01
1072,2000,March,British Columbia,17.0,2000-03-01
1085,2000,March,New Brunswick,1.0,2000-03-01
1081,2000,March,Manitoba,1.0,2000-03-01
1061,2000,March,Alberta,30.0,2000-03-01
1102,2000,March,Nova Scotia,4.0,2000-03-01
1062,2000,April,Alberta,139.0,2000-04-01
1094,2000,April,Newfoundland and Labrador,14.0,2000-04-01
1086,2000,April,New Brunswick,31.0,2000-04-01
1082,2000,April,Manitoba,1.0,2000-04-01
3326,2000,April,Canada,586.0,2000-04-01
1073,2000,April,British Columbia,157.0,2000-04-01
1103,2000,April,Nova Scotia,19.0,2000-04-01
1150,2000,April,Saskatchewan,46.0,2000-04-01
1140,2000,April,Quebec,80.0,2000-04-01
1118,2000,April,Ontario,99.0,2000-04-01
1124,2000,April,Prince Edward Island,,2000-04-01
1063,2000,May,Alberta,112.0,2000-05-01
1157,2000,May,Yukon,8.0,2000-05-01
1151,2000,May,Saskatchewan,72.0,2000-05-01
1083,2000,May,Manitoba,1.0,2000-05-01
1141,2000,May,Quebec,100.0,2000-05-01
1087,2000,May,New Brunswick,73.0,2000-05-01
1132,2000,May,Prince Edward Island,,2000-05-01
1074,2000,May,British Columbia,82.0,2000-05-01
1119,2000,May,Ontario,88.0,2000-05-01
1109,2000,May,Northwest Territories,5.0,2000-05-01
1104,2000,May,Nova Scotia,57.0,2000-05-01
3334,2000,May,Canada,632.0,2000-05-01
1095,2000,May,Newfoundland and Labrador,34.0,2000-05-01
1096,2000,June,Newfoundland and Labrador,44.0,2000-06-01
1158,2000,June,Yukon,36.0,2000-06-01
1120,2000,June,Ontario,44.0,2000-06-01
1088,2000,June,New Brunswick,77.0,2000-06-01
1110,2000,June,Northwest Territories,90.0,2000-06-01
1142,2000,June,Quebec,74.0,2000-06-01
1105,2000,June,Nova Scotia,51.0,2000-06-01
3332,2000,June,Canada,943.0,2000-06-01
1152,2000,June,Saskatchewan,137.0,2000-06-01
1075,2000,June,British Columbia,129.0,2000-06-01
1130,2000,June,Prince Edward Island,,2000-06-01
1064,2000,June,Alberta,261.0,2000-06-01
1153,2000,July,Saskatchewan,89.0,2000-07-01
1159,2000,July,Yukon,3.0,2000-07-01
1143,2000,July,Quebec,137.0,2000-07-01
1076,2000,July,British Columbia,399.0,2000-07-01
1111,2000,July,Northwest Territories,144.0,2000-07-01
1097,2000,July,Newfoundland and Labrador,9.0,2000-07-01
1121,2000,July,Ontario,117.0,2000-07-01
1089,2000,July,New Brunswick,40.0,2000-07-01
1106,2000,July,Nova Scotia,25.0,2000-07-01
3331,2000,July,Canada,1160.0,2000-07-01
1065,2000,July,Alberta,197.0,2000-07-01
1129,2000,July,Prince Edward Island,,2000-07-01
1090,2000,August,New Brunswick,46.0,2000-08-01
1077,2000,August,British Columbia,618.0,2000-08-01
1125,2000,August,Prince Edward Island,,2000-08-01
1154,2000,August,Saskatchewan,46.0,2000-08-01
1144,2000,August,Quebec,52.0,2000-08-01
1122,2000,August,Ontario,156.0,2000-08-01
1066,2000,August,Alberta,74.0,2000-08-01
1098,2000,August,Newfoundland and Labrador,15.0,2000-08-01
3327,2000,August,Canada,1072.0,2000-08-01
1112,2000,August,Northwest Territories,36.0,2000-08-01
1107,2000,August,Nova Scotia,29.0,2000-08-01
1108,2000,September,Nova Scotia,18.0,2000-09-01
3337,2000,September,Canada,264.0,2000-09-01
1135,2000,September,Prince Edward Island,,2000-09-01
1067,2000,September,Alberta,12.0,2000-09-01
1155,2000,September,Saskatchewan,15.0,2000-09-01
1145,2000,September,Quebec,44.0,2000-09-01
1091,2000,September,New Brunswick,44.0,2000-09-01
1078,2000,September,British Columbia,86.0,2000-09-01
1099,2000,September,Newfoundland and Labrador,7.0,2000-09-01
1123,2000,September,Ontario,38.0,2000-09-01
1093,2000,October,Newfoundland and Labrador,1.0,2000-10-01
1134,2000,October,Prince Edward Island,,2000-10-01
1100,2000,October,Nova Scotia,8.0,2000-10-01
1137,2000,October,Quebec,25.0,2000-10-01
3336,2000,October,Canada,226.0,2000-10-01
1057,2000,October,Alberta,16.0,2000-10-01
1114,2000,October,Ontario,83.0,2000-10-01
1068,2000,October,British Columbia,51.0,2000-10-01
1080,2000,October,Manitoba,1.0,2000-10-01
1084,2000,October,New Brunswick,30.0,2000-10-01
1148,2000,October,Saskatchewan,11.0,2000-10-01
1115,2000,November,Ontario,7.0,2000-11-01
3335,2000,November,Canada,25.0,2000-11-01
1069,2000,November,British Columbia,8.0,2000-11-01
1133,2000,November,Prince Edward Island,,2000-11-01
1058,2000,November,Alberta,5.0,2000-11-01
1101,2000,November,Nova Scotia,1.0,2000-11-01
1138,2000,November,Quebec,4.0,2000-11-01
1059,2000,December,Alberta,1.0,2000-12-01
3328,2000,December,Canada,2.0,2000-12-01
1070,2000,December,British Columbia,1.0,2000-12-01
1126,2000,December,Prince Edward Island,,2000-12-01
1160,2001,January,Alberta,4.0,2001-01-01
1197,2001,January,Newfoundland and Labrador,1.0,2001-01-01
1249,2001,January,Saskatchewan,4.0,2001-01-01
1218,2001,January,Ontario,1.0,2001-01-01
3343,2001,January,Canada,16.0,2001-01-01
1232,2001,January,Prince Edward Island,0.0,2001-01-01
1172,2001,January,British Columbia,6.0,2001-01-01
1231,2001,February,Prince Edward Island,0.0,2001-02-01
1251,2001,February,Saskatchewan,1.0,2001-02-01
3342,2001,February,Canada,4.0,2001-02-01
1164,2001,February,Alberta,2.0,2001-02-01
1175,2001,February,British Columbia,1.0,2001-02-01
1252,2001,March,Saskatchewan,3.0,2001-03-01
1176,2001,March,British Columbia,30.0,2001-03-01
1221,2001,March,Ontario,1.0,2001-03-01
1165,2001,March,Alberta,28.0,2001-03-01
3346,2001,March,Canada,66.0,2001-03-01
1235,2001,March,Prince Edward Island,0.0,2001-03-01
1207,2001,March,Nova Scotia,4.0,2001-03-01
1243,2001,April,Quebec,98.0,2001-04-01
1190,2001,April,New Brunswick,36.0,2001-04-01
1185,2001,April,Manitoba,1.0,2001-04-01
3339,2001,April,Canada,554.0,2001-04-01
1253,2001,April,Saskatchewan,121.0,2001-04-01
1228,2001,April,Prince Edward Island,0.0,2001-04-01
1208,2001,April,Nova Scotia,36.0,2001-04-01
1166,2001,April,Alberta,79.0,2001-04-01
1222,2001,April,Ontario,52.0,2001-04-01
1259,2001,April,Yukon,1.0,2001-04-01
1177,2001,April,British Columbia,130.0,2001-04-01
1191,2001,May,New Brunswick,169.0,2001-05-01
1223,2001,May,Ontario,115.0,2001-05-01
1167,2001,May,Alberta,292.0,2001-05-01
1209,2001,May,Nova Scotia,139.0,2001-05-01
1200,2001,May,Newfoundland and Labrador,30.0,2001-05-01
1260,2001,May,Yukon,8.0,2001-05-01
1178,2001,May,British Columbia,257.0,2001-05-01
1236,2001,May,Prince Edward Island,7.0,2001-05-01
1244,2001,May,Quebec,296.0,2001-05-01
1254,2001,May,Saskatchewan,158.0,2001-05-01
1186,2001,May,Manitoba,3.0,2001-05-01
3347,2001,May,Canada,1474.0,2001-05-01
1179,2001,June,British Columbia,98.0,2001-06-01
1201,2001,June,Newfoundland and Labrador,36.0,2001-06-01
1192,2001,June,New Brunswick,43.0,2001-06-01
3345,2001,June,Canada,1068.0,2001-06-01
1168,2001,June,Alberta,184.0,2001-06-01
1210,2001,June,Nova Scotia,31.0,2001-06-01
1234,2001,June,Prince Edward Island,3.0,2001-06-01
1261,2001,June,Yukon,30.0,2001-06-01
1214,2001,June,Northwest Territories,49.0,2001-06-01
1224,2001,June,Ontario,267.0,2001-06-01
1255,2001,June,Saskatchewan,200.0,2001-06-01
1245,2001,June,Quebec,127.0,2001-06-01
1215,2001,July,Northwest Territories,71.0,2001-07-01
1225,2001,July,Ontario,373.0,2001-07-01
1193,2001,July,New Brunswick,47.0,2001-07-01
1262,2001,July,Yukon,20.0,2001-07-01
1233,2001,July,Prince Edward Island,6.0,2001-07-01
1180,2001,July,British Columbia,329.0,2001-07-01
1169,2001,July,Alberta,201.0,2001-07-01
3344,2001,July,Canada,1373.0,2001-07-01
1246,2001,July,Quebec,109.0,2001-07-01
1211,2001,July,Nova Scotia,67.0,2001-07-01
1256,2001,July,Saskatchewan,116.0,2001-07-01
1202,2001,July,Newfoundland and Labrador,34.0,2001-07-01
1229,2001,August,Prince Edward Island,13.0,2001-08-01
1203,2001,August,Newfoundland and Labrador,63.0,2001-08-01
1170,2001,August,Alberta,91.0,2001-08-01
1226,2001,August,Ontario,666.0,2001-08-01
1247,2001,August,Quebec,324.0,2001-08-01
1257,2001,August,Saskatchewan,154.0,2001-08-01
1181,2001,August,British Columbia,262.0,2001-08-01
1263,2001,August,Yukon,9.0,2001-08-01
3340,2001,August,Canada,1833.0,2001-08-01
1216,2001,August,Northwest Territories,6.0,2001-08-01
1194,2001,August,New Brunswick,116.0,2001-08-01
1212,2001,August,Nova Scotia,129.0,2001-08-01
1204,2001,September,Newfoundland and Labrador,10.0,2001-09-01
1195,2001,September,New Brunswick,53.0,2001-09-01
1187,2001,September,Manitoba,1.0,2001-09-01
1227,2001,September,Ontario,109.0,2001-09-01
1248,2001,September,Quebec,41.0,2001-09-01
1239,2001,September,Prince Edward Island,6.0,2001-09-01
1171,2001,September,Alberta,55.0,2001-09-01
3350,2001,September,Canada,533.0,2001-09-01
1213,2001,September,Nova Scotia,47.0,2001-09-01
1258,2001,September,Saskatchewan,74.0,2001-09-01
1217,2001,September,Northwest Territories,2.0,2001-09-01
1182,2001,September,British Columbia,135.0,2001-09-01
1198,2001,October,Newfoundland and Labrador,5.0,2001-10-01
1188,2001,October,New Brunswick,29.0,2001-10-01
1161,2001,October,Alberta,56.0,2001-10-01
3349,2001,October,Canada,250.0,2001-10-01
1205,2001,October,Nova Scotia,28.0,2001-10-01
1250,2001,October,Saskatchewan,44.0,2001-10-01
1184,2001,October,Manitoba,1.0,2001-10-01
1241,2001,October,Quebec,8.0,2001-10-01
1238,2001,October,Prince Edward Island,10.0,2001-10-01
1219,2001,October,Ontario,10.0,2001-10-01
1173,2001,October,British Columbia,59.0,2001-10-01
3348,2001,November,Canada,51.0,2001-11-01
1220,2001,November,Ontario,2.0,2001-11-01
1206,2001,November,Nova Scotia,8.0,2001-11-01
1242,2001,November,Quebec,2.0,2001-11-01
1162,2001,November,Alberta,22.0,2001-11-01
1189,2001,November,New Brunswick,3.0,2001-11-01
1237,2001,November,Prince Edward Island,1.0,2001-11-01
1174,2001,November,British Columbia,13.0,2001-11-01
1163,2001,December,Alberta,10.0,2001-12-01
1230,2001,December,Prince Edward Island,0.0,2001-12-01
3341,2001,December,Canada,11.0,2001-12-01
1199,2001,December,Newfoundland and Labrador,1.0,2001-12-01
1264,2002,January,Alberta,10.0,2002-01-01
1276,2002,January,British Columbia,3.0,2002-01-01
1333,2002,January,Prince Edward Island,0.0,2002-01-01
1353,2002,January,Saskatchewan,2.0,2002-01-01
3356,2002,January,Canada,15.0,2002-01-01
1344,2002,February,Quebec,1.0,2002-02-01
1280,2002,February,British Columbia,3.0,2002-02-01
1355,2002,February,Saskatchewan,3.0,2002-02-01
3355,2002,February,Canada,11.0,2002-02-01
1268,2002,February,Alberta,4.0,2002-02-01
1332,2002,February,Prince Edward Island,0.0,2002-02-01
1269,2002,March,Alberta,3.0,2002-03-01
1281,2002,March,British Columbia,5.0,2002-03-01
3359,2002,March,Canada,18.0,2002-03-01
1336,2002,March,Prince Edward Island,0.0,2002-03-01
1308,2002,March,Nova Scotia,5.0,2002-03-01
1345,2002,March,Quebec,1.0,2002-03-01
1356,2002,March,Saskatchewan,3.0,2002-03-01
1322,2002,March,Ontario,1.0,2002-03-01
1282,2002,April,British Columbia,140.0,2002-04-01
1357,2002,April,Saskatchewan,35.0,2002-04-01
1309,2002,April,Nova Scotia,23.0,2002-04-01
1329,2002,April,Prince Edward Island,2.0,2002-04-01
3352,2002,April,Canada,351.0,2002-04-01
1323,2002,April,Ontario,26.0,2002-04-01
1289,2002,April,Manitoba,1.0,2002-04-01
1270,2002,April,Alberta,35.0,2002-04-01
1346,2002,April,Quebec,53.0,2002-04-01
1293,2002,April,New Brunswick,31.0,2002-04-01
1301,2002,April,Newfoundland and Labrador,5.0,2002-04-01
1315,2002,May,Northwest Territories,2.0,2002-05-01
1302,2002,May,Newfoundland and Labrador,30.0,2002-05-01
1310,2002,May,Nova Scotia,111.0,2002-05-01
1294,2002,May,New Brunswick,97.0,2002-05-01
1324,2002,May,Ontario,105.0,2002-05-01
1290,2002,May,Manitoba,4.0,2002-05-01
1347,2002,May,Quebec,128.0,2002-05-01
3360,2002,May,Canada,1224.0,2002-05-01
1358,2002,May,Saskatchewan,292.0,2002-05-01
1283,2002,May,British Columbia,161.0,2002-05-01
1337,2002,May,Prince Edward Island,13.0,2002-05-01
1363,2002,May,Yukon,17.0,2002-05-01
1271,2002,May,Alberta,264.0,2002-05-01
1303,2002,June,Newfoundland and Labrador,24.0,2002-06-01
1348,2002,June,Quebec,84.0,2002-06-01
1359,2002,June,Saskatchewan,345.0,2002-06-01
1311,2002,June,Nova Scotia,31.0,2002-06-01
1316,2002,June,Northwest Territories,38.0,2002-06-01
1364,2002,June,Yukon,30.0,2002-06-01
1325,2002,June,Ontario,85.0,2002-06-01
3358,2002,June,Canada,1512.0,2002-06-01
1335,2002,June,Prince Edward Island,0.0,2002-06-01
1295,2002,June,New Brunswick,42.0,2002-06-01
1284,2002,June,British Columbia,245.0,2002-06-01
1272,2002,June,Alberta,588.0,2002-06-01
1360,2002,July,Saskatchewan,183.0,2002-07-01
1304,2002,July,Newfoundland and Labrador,13.0,2002-07-01
1334,2002,July,Prince Edward Island,6.0,2002-07-01
1312,2002,July,Nova Scotia,26.0,2002-07-01
1326,2002,July,Ontario,536.0,2002-07-01
3357,2002,July,Canada,1878.0,2002-07-01
1349,2002,July,Quebec,249.0,2002-07-01
1285,2002,July,British Columbia,410.0,2002-07-01
1296,2002,July,New Brunswick,37.0,2002-07-01
1317,2002,July,Northwest Territories,41.0,2002-07-01
1365,2002,July,Yukon,19.0,2002-07-01
1273,2002,July,Alberta,358.0,2002-07-01
1330,2002,August,Prince Edward Island,4.0,2002-08-01
1286,2002,August,British Columbia,596.0,2002-08-01
1313,2002,August,Nova Scotia,55.0,2002-08-01
1350,2002,August,Quebec,166.0,2002-08-01
1318,2002,August,Northwest Territories,4.0,2002-08-01
1274,2002,August,Alberta,122.0,2002-08-01
1366,2002,August,Yukon,4.0,2002-08-01
1297,2002,August,New Brunswick,76.0,2002-08-01
1327,2002,August,Ontario,212.0,2002-08-01
3353,2002,August,Canada,1274.0,2002-08-01
1361,2002,August,Saskatchewan,21.0,2002-08-01
1305,2002,August,Newfoundland and Labrador,14.0,2002-08-01
1275,2002,September,Alberta,60.0,2002-09-01
1298,2002,September,New Brunswick,22.0,2002-09-01
1287,2002,September,British Columbia,108.0,2002-09-01
1328,2002,September,Ontario,188.0,2002-09-01
1340,2002,September,Prince Edward Island,3.0,2002-09-01
1314,2002,September,Nova Scotia,18.0,2002-09-01
3363,2002,September,Canada,615.0,2002-09-01
1351,2002,September,Quebec,205.0,2002-09-01
1362,2002,September,Saskatchewan,5.0,2002-09-01
1306,2002,September,Newfoundland and Labrador,6.0,2002-09-01
1265,2002,October,Alberta,22.0,2002-10-01
1277,2002,October,British Columbia,86.0,2002-10-01
1291,2002,October,New Brunswick,10.0,2002-10-01
3362,2002,October,Canada,141.0,2002-10-01
1354,2002,October,Saskatchewan,2.0,2002-10-01
1339,2002,October,Prince Edward Island,1.0,2002-10-01
1300,2002,October,Newfoundland and Labrador,1.0,2002-10-01
1320,2002,October,Ontario,8.0,2002-10-01
1342,2002,October,Quebec,11.0,2002-10-01
1338,2002,November,Prince Edward Island,0.0,2002-11-01
1307,2002,November,Nova Scotia,1.0,2002-11-01
1343,2002,November,Quebec,1.0,2002-11-01
1266,2002,November,Alberta,21.0,2002-11-01
1292,2002,November,New Brunswick,2.0,2002-11-01
1321,2002,November,Ontario,1.0,2002-11-01
3361,2002,November,Canada,58.0,2002-11-01
1278,2002,November,British Columbia,32.0,2002-11-01
1267,2002,December,Alberta,6.0,2002-12-01
3354,2002,December,Canada,12.0,2002-12-01
1279,2002,December,British Columbia,6.0,2002-12-01
1331,2002,December,Prince Edward Island,0.0,2002-12-01
1367,2003,January,Alberta,14.0,2003-01-01
1438,2003,January,Prince Edward Island,0.0,2003-01-01
1422,2003,January,Ontario,28.0,2003-01-01
1379,2003,January,British Columbia,5.0,2003-01-01
3369,2003,January,Canada,47.0,2003-01-01
1437,2003,February,Prince Edward Island,0.0,2003-02-01
1382,2003,February,British Columbia,3.0,2003-02-01
3368,2003,February,Canada,32.0,2003-02-01
1426,2003,February,Ontario,25.0,2003-02-01
1371,2003,February,Alberta,4.0,2003-02-01
1427,2003,March,Ontario,37.0,2003-03-01
3372,2003,March,Canada,59.0,2003-03-01
1410,2003,March,Nova Scotia,2.0,2003-03-01
1383,2003,March,British Columbia,19.0,2003-03-01
1441,2003,March,Prince Edward Island,0.0,2003-03-01
1372,2003,March,Alberta,1.0,2003-03-01
1384,2003,April,British Columbia,99.0,2003-04-01
1373,2003,April,Alberta,34.0,2003-04-01
1391,2003,April,Manitoba,1.0,2003-04-01
3365,2003,April,Canada,416.0,2003-04-01
1394,2003,April,New Brunswick,18.0,2003-04-01
1411,2003,April,Nova Scotia,75.0,2003-04-01
1403,2003,April,Newfoundland and Labrador,2.0,2003-04-01
1462,2003,April,Yukon,3.0,2003-04-01
1455,2003,April,Saskatchewan,48.0,2003-04-01
1448,2003,April,Quebec,39.0,2003-04-01
1428,2003,April,Ontario,95.0,2003-04-01
1434,2003,April,Prince Edward Island,2.0,2003-04-01
1412,2003,May,Nova Scotia,100.0,2003-05-01
1463,2003,May,Yukon,13.0,2003-05-01
3373,2003,May,Canada,1168.0,2003-05-01
1456,2003,May,Saskatchewan,135.0,2003-05-01
1374,2003,May,Alberta,267.0,2003-05-01
1449,2003,May,Quebec,254.0,2003-05-01
1385,2003,May,British Columbia,144.0,2003-05-01
1442,2003,May,Prince Edward Island,7.0,2003-05-01
1429,2003,May,Ontario,121.0,2003-05-01
1395,2003,May,New Brunswick,89.0,2003-05-01
1417,2003,May,Northwest Territories,6.0,2003-05-01
1404,2003,May,Newfoundland and Labrador,32.0,2003-05-01
1457,2003,June,Saskatchewan,73.0,2003-06-01
1405,2003,June,Newfoundland and Labrador,45.0,2003-06-01
1464,2003,June,Yukon,30.0,2003-06-01
1386,2003,June,British Columbia,272.0,2003-06-01
1440,2003,June,Prince Edward Island,0.0,2003-06-01
1413,2003,June,Nova Scotia,28.0,2003-06-01
1396,2003,June,New Brunswick,38.0,2003-06-01
3371,2003,June,Canada,1230.0,2003-06-01
1450,2003,June,Quebec,193.0,2003-06-01
1418,2003,June,Northwest Territories,48.0,2003-06-01
1430,2003,June,Ontario,288.0,2003-06-01
1375,2003,June,Alberta,215.0,2003-06-01
1431,2003,July,Ontario,133.0,2003-07-01
1465,2003,July,Yukon,20.0,2003-07-01
1458,2003,July,Saskatchewan,221.0,2003-07-01
1414,2003,July,Nova Scotia,30.0,2003-07-01
1376,2003,July,Alberta,328.0,2003-07-01
3370,2003,July,Canada,1493.0,2003-07-01
1451,2003,July,Quebec,78.0,2003-07-01
1397,2003,July,New Brunswick,29.0,2003-07-01
1387,2003,July,British Columbia,562.0,2003-07-01
1439,2003,July,Prince Edward Island,0.0,2003-07-01
1406,2003,July,Newfoundland and Labrador,6.0,2003-07-01
1419,2003,July,Northwest Territories,86.0,2003-07-01
3366,2003,August,Canada,1913.0,2003-08-01
1452,2003,August,Quebec,91.0,2003-08-01
1459,2003,August,Saskatchewan,146.0,2003-08-01
1388,2003,August,British Columbia,1132.0,2003-08-01
1392,2003,August,Manitoba,1.0,2003-08-01
1398,2003,August,New Brunswick,26.0,2003-08-01
1466,2003,August,Yukon,4.0,2003-08-01
1407,2003,August,Newfoundland and Labrador,16.0,2003-08-01
1435,2003,August,Prince Edward Island,1.0,2003-08-01
1377,2003,August,Alberta,257.0,2003-08-01
1432,2003,August,Ontario,204.0,2003-08-01
1420,2003,August,Northwest Territories,19.0,2003-08-01
1415,2003,August,Nova Scotia,16.0,2003-08-01
1445,2003,September,Prince Edward Island,2.0,2003-09-01
1378,2003,September,Alberta,59.0,2003-09-01
1460,2003,September,Saskatchewan,15.0,2003-09-01
1421,2003,September,Northwest Territories,1.0,2003-09-01
1467,2003,September,Yukon,2.0,2003-09-01
1416,2003,September,Nova Scotia,13.0,2003-09-01
1389,2003,September,British Columbia,198.0,2003-09-01
1433,2003,September,Ontario,31.0,2003-09-01
1453,2003,September,Quebec,53.0,2003-09-01
1399,2003,September,New Brunswick,27.0,2003-09-01
1408,2003,September,Newfoundland and Labrador,21.0,2003-09-01
3376,2003,September,Canada,422.0,2003-09-01
1423,2003,October,Ontario,18.0,2003-10-01
1444,2003,October,Prince Edward Island,1.0,2003-10-01
1447,2003,October,Quebec,12.0,2003-10-01
3375,2003,October,Canada,162.0,2003-10-01
1454,2003,October,Saskatchewan,20.0,2003-10-01
1401,2003,October,Newfoundland and Labrador,3.0,2003-10-01
1409,2003,October,Nova Scotia,8.0,2003-10-01
1380,2003,October,British Columbia,40.0,2003-10-01
1368,2003,October,Alberta,57.0,2003-10-01
1393,2003,October,New Brunswick,3.0,2003-10-01
1443,2003,November,Prince Edward Island,1.0,2003-11-01
1381,2003,November,British Columbia,16.0,2003-11-01
1424,2003,November,Ontario,23.0,2003-11-01
1402,2003,November,Newfoundland and Labrador,1.0,2003-11-01
1369,2003,November,Alberta,14.0,2003-11-01
3374,2003,November,Canada,60.0,2003-11-01
1461,2003,November,Yukon,5.0,2003-11-01
1370,2003,December,Alberta,7.0,2003-12-01
3367,2003,December,Canada,47.0,2003-12-01
1436,2003,December,Prince Edward Island,0.0,2003-12-01
1425,2003,December,Ontario,40.0,2003-12-01
1539,2004,January,Prince Edward Island,0.0,2004-01-01
1468,2004,January,Alberta,3.0,2004-01-01
3382,2004,January,Canada,3.0,2004-01-01
1472,2004,February,Alberta,3.0,2004-02-01
1483,2004,February,British Columbia,2.0,2004-02-01
3381,2004,February,Canada,7.0,2004-02-01
1538,2004,February,Prince Edward Island,0.0,2004-02-01
1558,2004,February,Saskatchewan,2.0,2004-02-01
1542,2004,March,Prince Edward Island,0.0,2004-03-01
1473,2004,March,Alberta,9.0,2004-03-01
1559,2004,March,Saskatchewan,1.0,2004-03-01
3385,2004,March,Canada,53.0,2004-03-01
1484,2004,March,British Columbia,43.0,2004-03-01
1515,2004,April,Nova Scotia,31.0,2004-04-01
1560,2004,April,Saskatchewan,19.0,2004-04-01
1492,2004,April,Manitoba,7.0,2004-04-01
1550,2004,April,Quebec,32.0,2004-04-01
1507,2004,April,Newfoundland and Labrador,1.0,2004-04-01
1474,2004,April,Alberta,230.0,2004-04-01
1499,2004,April,New Brunswick,57.0,2004-04-01
1485,2004,April,British Columbia,178.0,2004-04-01
1535,2004,April,Prince Edward Island,1.0,2004-04-01
3378,2004,April,Canada,590.0,2004-04-01
1529,2004,April,Ontario,34.0,2004-04-01
1567,2004,May,Yukon,5.0,2004-05-01
1475,2004,May,Alberta,300.0,2004-05-01
1561,2004,May,Saskatchewan,80.0,2004-05-01
1551,2004,May,Quebec,82.0,2004-05-01
1543,2004,May,Prince Edward Island,14.0,2004-05-01
1530,2004,May,Ontario,64.0,2004-05-01
1516,2004,May,Nova Scotia,137.0,2004-05-01
1508,2004,May,Newfoundland and Labrador,66.0,2004-05-01
1523,2004,May,Northwest Territories,3.0,2004-05-01
1500,2004,May,New Brunswick,118.0,2004-05-01
1486,2004,May,British Columbia,132.0,2004-05-01
1493,2004,May,Manitoba,8.0,2004-05-01
3386,2004,May,Canada,1009.0,2004-05-01
1568,2004,June,Yukon,138.0,2004-06-01
1524,2004,June,Northwest Territories,51.0,2004-06-01
1494,2004,June,Manitoba,2.0,2004-06-01
1531,2004,June,Ontario,79.0,2004-06-01
1501,2004,June,New Brunswick,41.0,2004-06-01
1487,2004,June,British Columbia,637.0,2004-06-01
1509,2004,June,Newfoundland and Labrador,16.0,2004-06-01
1552,2004,June,Quebec,77.0,2004-06-01
1476,2004,June,Alberta,283.0,2004-06-01
1562,2004,June,Saskatchewan,26.0,2004-06-01
3384,2004,June,Canada,1405.0,2004-06-01
1517,2004,June,Nova Scotia,52.0,2004-06-01
1541,2004,June,Prince Edward Island,3.0,2004-06-01
3383,2004,July,Canada,1974.0,2004-07-01
1540,2004,July,Prince Edward Island,0.0,2004-07-01
1502,2004,July,New Brunswick,14.0,2004-07-01
1563,2004,July,Saskatchewan,166.0,2004-07-01
1532,2004,July,Ontario,101.0,2004-07-01
1553,2004,July,Quebec,39.0,2004-07-01
1477,2004,July,Alberta,658.0,2004-07-01
1510,2004,July,Newfoundland and Labrador,14.0,2004-07-01
1525,2004,July,Northwest Territories,206.0,2004-07-01
1569,2004,July,Yukon,100.0,2004-07-01
1495,2004,July,Manitoba,35.0,2004-07-01
1518,2004,July,Nova Scotia,11.0,2004-07-01
1488,2004,July,British Columbia,630.0,2004-07-01
1511,2004,August,Newfoundland and Labrador,23.0,2004-08-01
1564,2004,August,Saskatchewan,31.0,2004-08-01
1503,2004,August,New Brunswick,11.0,2004-08-01
1526,2004,August,Northwest Territories,27.0,2004-08-01
1533,2004,August,Ontario,99.0,2004-08-01
